nomes,endereco_fisico,primeiro_dominio
Hotel Serrador,"Rua Teixeira Soares, 962 Centro, Passo Fundo, Brasil",https://www.hotelserradorpf.com.br/
Gran Motel Dubai,"5067 Rua Jacob Luchesi, Caxias do Sul, Brasil",https://www.granmoteldubai.com.br/
Chales Pousada,"Rs 389 Estrada Do Mar 6470 Km 83, Torres, Brasil",https://chalespousada95560-000.inriograndedosul.com/pt/
Candemil Executivo Hotel,"1175 Rua Guilherme Lahm, Taquara, Brasil",https://www.tripadvisor.com.br/Hotel_Review-g1631806-d1631568-Reviews-Candemil_Executivo_Hotel-Taquara_State_of_Rio_Grande_do_Sul.html
Flat Prodigy Serrano Hotel,"Rua Estrela Dalva, Gramado, Brasil",https://www.booking.com/hotel/br/apart-5-spa-gramado.pt-br.html
Thermas Classic Hotel E Restaurante I,"Avenida Beiro, 1028, Balneário Hotel, Marcelino Ramos, Brasil",http://www.hoteisthermasclassic.com.br/
Pousada Da Nova,"2321 Avenida Minas Gerais Quase De Fronte A Sub Prefeitura De Nova Tramandai, 95590-000, Tramandai, Br, Tramandaí, Brasil",https://pousada-da-nova-tramandai.ibooked.com.br/
"Bina'S Haus Pousada, Cafeteria E Atelier","Rod Rs 235, Km 10,5, Nova Petropolis, Brasil",https://pousadabinashaus.com.br/
Cometa Plaza Hotel,"1413 Rua General Salvador Pinheiro Machado, São Luiz Gonzaga, Brasil",https://cometaplazahotel.com.br/
Pousada Esperança,"Travessão da goiabeira 387 Morro da Borússia, Osorio, Brasil",https://www.tripadvisor.com.br/Hotel_Review-g1936528-d2663659-Reviews-Pousada_Sitio_da_Esperanca-Osorio_State_of_Rio_Grande_do_Sul.html
Cyro Hotel,"Avenida Presidente Keneddy 171, Cacapava do Sul, Brasil",https://www.tripadvisor.com.br/Hotel_Review-g775222-d4510672-Reviews-Cyro_Hotel-Cacapava_do_Sul_State_of_Rio_Grande_do_Sul.html
Hotel Majestic,"611 Rua Marechal Deodoro, Pelotas, Brasil",https://www.tripadvisor.com.br/Hotel_Review-g775229-d14809742-Reviews-Hotel_Majestic-Pelotas_State_of_Rio_Grande_do_Sul.html
Pousada Fazendinha Tatuira,"Rua 37 Mariluz, Imbé, Brasil",https://www.pousadacampingtatuira.com.br/
"Century Park Living By My Way, próximo à Santa Casa, UFRGS, Fórum e CAFF","Av. Loureiro da Silva, 1660 E 1670 Bairro Cidade Baixa, Porto Alegre, Brasil",https://comfort-porto-alegre-hotel.ibooked.com.br/
Apartamento No Centro De Gramado,"Rua Senador Salgado Filho 467, Gramado, Brasil",https://apartamento-no-centro-de-gramado.negocio.site/
De Rose Centro Hotel,"Rua 15 De Novembro, 247 Centro, Torres, Brasil",https://de-rose-centro-hotel.hoteis-em-suldobrasil.com/pt/
Pousada Serra Geral,"Avenida Getúlio Vargas 1595 Frente à Casa do Turista, Esquina, Posto, Cambará, Brasil",https://www.booking.com/hotel/br/pousada-serra-geral.pt-br.html
"Apart-hotel em Gramado, padrão 4 estrelas, no centro","Av. Borges De Medeiros, 4206, Gramado, Brasil",https://www.booking.com/hotel/br/raupp-flats-gramado.pt-br.html
Cabanas Brisa Dos Canyons,"R Joaquim Pereira 721, Cambará, Brasil",https://www.cabanasbrisadoscanyons.com.br/
Hotel Marrocos,"Av. Duque De Caxias, 945, Pelotas, Brasil",https://www.booking.com/hotel/br/marrocos-pelotas.pt-br.html
